Suburb|Address|Rooms|Type|Price|Method|SellerG|Date|Distance|Postcode|Bedroom2|Bathroom|Car|Landsize|BuildingArea|YearBuilt|CouncilArea|Lattitude|Longtitude|Regionname|Propertycount
Ormond|4/4 Ormond Rd|1|u|260000.0|SP|Thomson|16/04/2016|211711.89068849766|3204.0|1.0|1.0|1.0|0.0|572653.7210722177|1970.0|Glen Eira|-37.9038|145.0454|Southern Metropolitan|3578.0
Port Melbourne|189 Station St|2|h|1155000.0|S|Chisholm|18/03/2017|893999.2768850331|3207.0|2.0|1.0|0.0|112.0|1275330.2670190115||Port Phillip|-37.8329|144.9455|Southern Metropolitan|8648.0
Port Melbourne|401/216 Rouse St|1|u|420000.0|S|Buxton|7/11/2016|1348845.1466068502|3207.0|1.0|1.0|1.0|0.0|-215489.0318698925||Port Phillip|-37.841|144.9379|Southern Metropolitan|8648.0
Maribyrnong|42/2 Horizon Dr|2|u|488000.0|S|Barry|16/04/2016|1377367.0010501584|3032.0|2.0|2.0|2.0|0.0|365842.9796162832||Maribyrnong|-37.7752|144.8925|Western Metropolitan|4918.0
Hampton East|1/23 Wickham Rd|3|h|926000.0|S|Buxton|18/06/2016|2100050.778397869|3188.0|2.0|2.0|2.0|393.0|358234.4776359078|1950.0|Bayside|-37.9431|145.0267|Southern Metropolitan|2356.0
Watsonia|3/8 Herbert St|2|t|485000.0|S|Stockdale|23/04/2016|716419.2319960395|3087.0|2.0|1.0|1.0|184.0|-192245.32836641234||Banyule|-37.7143|145.0781|Northern Metropolitan|2329.0
Coburg|12 Lascelles St|3|h|765000.0|S|Nelson|16/04/2016|1059140.242981877|3058.0|||||215118.5963028381|||||Northern Metropolitan|11204.0
South Yarra|3/2 Coolullah Av|1|u|661000.0|S|Williams|27/06/2016|-230026.7609038621|3141.0|||||1211334.8820693144|||||Southern Metropolitan|14887.0
Glen Iris|15 Yeovil Rd|4|h|2950000.0|S|Kay|27/11/2016|2568553.0558022726|3146.0|4.0|2.0|2.0|1485.0|3348002.531682964|1966.0|Boroondara|-37.8509|145.0856|Southern Metropolitan|10412.0
Rosanna|21 Ruthven St|3|h|1050000.0|SP|Miles|7/05/2016|1182565.3398022458|3084.0|3.0|1.0|2.0|1016.0|1674022.1686508085|1950.0|Banyule|-37.7299|145.0656|Eastern Metropolitan|3540.0
Hawthorn East|218/12 Albert St|1|u|375000.0|PI|hockingstuart|22/05/2016|-207244.68095187427|3123.0|||||770989.8858515163|||||Southern Metropolitan|6482.0
East Melbourne|4/24 Hotham St|2|u|810000.0|S|Biggin|13/05/2017|-1344673.064755741|3002.0|2.0|1.0|1.0|944.0|1184697.931465631||Melbourne|-37.8144|144.9896|Northern Metropolitan|3040.0
Burwood|1/13 Johnston St|4|u|813000.0|S|Oriental|20/05/2017|1335045.8264497677|3125.0|4.0|1.0|2.0|360.0|233178.469800452|1990.0|Whitehorse|-37.8499|145.1306|Southern Metropolitan|5678.0
Keilor East|19a Wyong St|4|h|1115000.0|S|Barry|22/04/2017|1423068.6243975372|3033.0|||||1648275.381577843|||||Western Metropolitan|5629.0
Heidelberg Heights|484 Waterdale Rd|3|h|915000.0|S|Miles|25/02/2017|1514385.8079361315|3081.0|3.0|1.0|1.0|748.0|81431.02701917816|1950.0|Banyule|-37.7416|145.0481|Eastern Metropolitan|2947.0
Cremorne|443 Punt Rd|3|h|1475000.0|PI|Biggin|10/09/2016|953038.5278648408|3121.0|3.0|2.0|2.0|324.0|1163148.2335576066|1880.0|Yarra|-37.8278|144.9885|Northern Metropolitan|1123.0
Southbank|73/1 Riverside Qy|2|u|540000.0|S|Dingle|24/09/2016|872689.6802907533|3006.0|2.0|2.0|1.0|0.0|-409087.3470949925|1994.0|Melbourne|-37.822|144.9637|Southern Metropolitan|8400.0
Surrey Hills|545 Whitehorse Rd|5|h|2450000.0|S|Marshall|27/06/2016|1610594.2205409752|3127.0|5.0|4.0|2.0|1076.0|1766303.581563437||Boroondara|-37.8141|145.0936|Southern Metropolitan|5457.0
Reservoir|96b Cheddar Rd|4|h|678500.0|S|hockingstuart|13/05/2017|362290.27415848704|3073.0|0.0|1.0|2.0|606.0|50900.80280523688||Darebin|-37.6987|145.0203|Northern Metropolitan|21650.0
Kealba|3 Stenson Rd|3|h|515000.0|S|Sweeney|10/12/2016|767408.0412233409|3021.0|3.0|1.0|4.0|597.0|808900.3838970516|1975.0|Brimbank|-37.7392|144.8241|Western Metropolitan|1202.0
Elwood|2/23 Foam St|2|u|582500.0|S|Chisholm|8/10/2016|842062.7407807695|3184.0|2.0|1.0|1.0|0.0|214430.00440300375||Port Phillip|-37.885|144.991|Southern Metropolitan|8989.0
Glenroy|1/112 Cardinal Rd|4|t|608000.0|S|Raine|17/09/2016|-84108.66461430269|3046.0|3.0|2.0|1.0|252.0|610198.7055660415|2014.0|Moreland|-37.7006|144.9299|Northern Metropolitan|8870.0
East Melbourne|496 Victoria Pde|4|h|1475000.0|S|Frank|18/06/2016|1656123.9564652687|3002.0|2.0|1.0|1.0|179.0|1072858.4297818905||Melbourne|-37.8099|144.9879|Northern Metropolitan|3040.0
Oakleigh South|3/1073 Centre Rd|3|h|782000.0|SP|Woodards|11/03/2017|822756.914087097|3167.0|3.0|2.0|2.0|0.0|762678.7585705016||Kingston|-37.9244|145.0885|South-Eastern Metropolitan|3692.0
Kew|7 Rimington Av|4|h|2250000.0|S|Jellis|3/12/2016|888011.9217117592|3101.0|||||2423813.1163888974|||||Southern Metropolitan|10331.0
Glen Iris|56 Brandon St|3|h|1820000.0|S|Jellis|12/11/2016|2451579.0521308742|3146.0|3.0|1.0|3.0|650.0|2753837.2190222964|1930.0|Boroondara|-37.8571|145.0766|Southern Metropolitan|10412.0
Toorak|16/36 Grange Rd|1|u|460000.0|PI|hockingstuart|26/07/2016|1156632.2065980912|3142.0|1.0|1.0|1.0|0.0|233587.74630297397||Stonnington|-37.8373|145.0116|Southern Metropolitan|7217.0
Briar Hill|1/4 Box Rd|3|h|590000.0|S|Barry|27/05/2017|319118.23474712425|3088.0|3.0|1.0|2.0|392.0|462302.94044641143||Banyule|-37.70433|145.12184|Eastern Metropolitan|1390.0
Lalor|18 Howell St|3|h|752000.0|S|hockingstuart|8/07/2017|91814.53505417588|3075.0|4.0|2.0|2.0|680.0|924040.22229867|2006.0|Bayside|-37.94882|145.03111|Northern Metropolitan|8279.0
Armadale|7 Llaneast St|3|h|1939000.0|S|Jellis|3/12/2016|1021504.7550007028|3143.0|3.0|2.0|2.0|296.0|1971265.4787892385|1889.0|Stonnington|-37.8614|145.0274|Southern Metropolitan|4836.0
Brighton|1/137 Cole St|2|u|1300000.0|S|hockingstuart|4/03/2017|1135858.67829845|3186.0|2.0|2.0|1.0|244.0|448717.1320906497|2000.0|Bayside|-37.8954|145.0026|Southern Metropolitan|10579.0
Ascot Vale|1 Bloomfield Rd|3|h|1305000.0|S|Barry|28/05/2016|843134.8177727149|3032.0|2.0|1.0|1.0|278.0|1472736.4803004756|1900.0|Moonee Valley|-37.7768|144.9223|Western Metropolitan|6567.0
Maribyrnong|26 Waterford Av|3|t|725000.0|S|Biggin|27/11/2016|1215561.9912617023|3032.0|||||387000.1228133157|||||Western Metropolitan|4918.0
Balwyn North|6 Leicester St|4|h|1670000.0|S|Jellis|18/03/2017|2043691.0386249481|3104.0|4.0|1.0|4.0|1042.0|1048605.9777907592||Boroondara|-37.7908|145.101|Southern Metropolitan|7809.0
Maribyrnong|8/10 Anglers Wy|1|u|260000.0|PI|Brad|10/09/2016|1252426.9440461076|3032.0|||||-15127.04893614311|||||Western Metropolitan|4918.0
Bentleigh East|40 Chesterville Dr|3|h|1115000.0|SP|hockingstuart|22/05/2016|1498487.8819694445|3165.0|3.0|2.0|2.0|1080.0|1421742.875856934||Glen Eira|-37.9233|145.0674|Southern Metropolitan|10969.0
Carlton North|527 Nicholson St|3|h|1330000.0|VB|Nelson|3/09/2016|2588507.443206401|3054.0|3.0|1.0|1.0|314.0|827773.143617771|1900.0|Yarra|-37.7871|144.9766|Northern Metropolitan|3106.0
Richmond|12/9 Westbank Tce|1|u|280000.0|VB|Jellis|16/07/2016|319697.5162706171|3121.0|||||-780649.5360127832|||||Northern Metropolitan|14949.0
Maribyrnong|33 River St|4|h|1215000.0|S|Raine|24/09/2016|52901.23663712619|3032.0|4.0|3.0|4.0|613.0|1252400.8496975598|1950.0|Maribyrnong|-37.7799|144.8879|Western Metropolitan|4918.0
Balwyn|4/35 Weir St|2|u|650000.0|S|Jellis|24/09/2016|-275599.2043198809|3103.0|2.0|1.0|1.0|0.0|276617.65561148024|1960.0|Boroondara|-37.8147|145.084|Southern Metropolitan|5682.0
Beaumaris|11 White St|6|h|2000000.0|S|Ray|1/07/2017|1667414.4008071753|3193.0|6.0|3.0|4.0|836.0|2761152.617276293||Bayside|-37.98942|145.03394|Southern Metropolitan|5366.0
Spotswood|6 McNeilage St|2|h|832500.0|S|Jas|7/05/2016|304178.392649606|3015.0|2.0|1.0|2.0|562.0|771924.6961389519|1950.0|Hobsons Bay|-37.8333|144.8868|Western Metropolitan|1223.0
Moorabbin|2/1 Barbara St|2|u|605000.0|S|Ray|19/11/2016|-156197.09184696866|3189.0|2.0|1.0|2.0|180.0|731585.0680287363|1980.0|Kingston|-37.9363|145.0564|Southern Metropolitan|2555.0
Ascot Vale|7 Angler Pde|4|h|1640000.0|S|Raine|16/04/2016|1510222.6328395654|3032.0|4.0|3.0|2.0|562.0|1128360.317038517|1890.0|Moonee Valley|-37.782|144.903|Western Metropolitan|6567.0
Richmond|27 Charlotte St|4|h|1400000.0|S|Biggin|3/06/2017|583138.5040277318|3121.0|4.0|1.0|0.0|244.0|1673076.2815202728||Yarra|-37.82503|144.99967|Northern Metropolitan|14949.0
Newport|53 River St|4|h|1260000.0|PI|Village|7/05/2016|-329188.0658144939|3015.0|4.0|1.0|3.0|757.0|499333.6382541884|1960.0|Hobsons Bay|-37.8411|144.889|Western Metropolitan|5498.0
Reservoir|5 Jess St|4|h|801000.0|S|Ray|24/09/2016|639585.3682411032|3073.0|3.0|1.0|2.0|771.0|680596.7757671494|1965.0|Darebin|-37.705|145.0035|Northern Metropolitan|21650.0
Northcote|13 Helen St|4|h|1950000.0|S|Jellis|8/10/2016|1628641.420138636|3070.0|4.0|1.0|2.0|608.0|2325929.471536143|1870.0|Darebin|-37.7731|144.9967|Northern Metropolitan|11364.0
Preston|5 Newman St|2|h|942000.0|S|Love|6/08/2016|2382234.490456849|3072.0|2.0|2.0|0.0|3037.0|173018.2744884215||Darebin|-37.7484|144.9949|Northern Metropolitan|14577.0
Abbotsford|42 Valiant St|2|h|890000.0|S|Biggin|17/09/2016|-852540.5840276361|3067.0|2.0|1.0|1.0|150.0|914839.1422490074|1985.0|Yarra|-37.8011|145.0004|Northern Metropolitan|4019.0
McKinnon|239B Tucker Rd|4|t|1800800.0|SP|Jellis|12/08/2017|2130288.1508217542|3204.0|||||1057454.8625402502|||||Southern Metropolitan|2397.0
Richmond|308 Lennox St|2|h|1220000.0|S|Biggin|10/12/2016|1782787.2827147925|3121.0|2.0|1.0|1.0|166.0|1707859.676309611|1900.0|Yarra|-37.8245|144.9933|Northern Metropolitan|14949.0
Balwyn North|151 Bulleen Rd|3|h|980000.0|SP|Fletchers|14/05/2016|2267001.404146617|3104.0|3.0|1.0|1.0|542.0|906551.1009416549||Boroondara|-37.7832|145.0779|Southern Metropolitan|7809.0
Reservoir|53 Northernhay St|4|h|1215000.0|S|Nelson|17/09/2016|1021296.3478999658|3073.0|4.0|2.0|4.0|748.0|1232461.0602844392||Darebin|-37.7247|145.0096|Northern Metropolitan|21650.0
Kew|62 Wiltshire Dr|3|t|690000.0|S|McGrath|8/04/2017|910015.690010658|3101.0|3.0|1.0|2.0|111.0|920818.5480089169|1872.0|Boroondara|-37.7941|145.0238|Southern Metropolitan|10331.0
Balwyn North|41 Helston St|4|h|1800000.0|VB|Fletchers/One|10/12/2016|1525160.251905246|3104.0|4.0|2.0|4.0|587.0|2324842.489583262|1960.0|Boroondara|-37.7841|145.0953|Southern Metropolitan|7809.0
Brunswick|46 Cassels Rd|2|h|860000.0|S|Nelson|16/04/2016|1658578.6234091981|3056.0|3.0|1.0|2.0|352.0|1101555.8192704043|1900.0|Moreland|-37.7566|144.9599|Northern Metropolitan|11918.0
Travancore|456/38 Mt Alexander Rd|2|u|360000.0|SP|Pagan|20/05/2017|1093589.3640182891|3032.0|2.0|1.0|1.0|0.0|-593067.1267370456|2010.0|Moonee Valley|-37.7847|144.9383|Western Metropolitan|1052.0
Airport West|1/9 Kitson Cr|2|u|593000.0|S|Nelson|1/07/2017|-155479.98179824336|3042.0|||||713666.304315868|||||Western Metropolitan|3464.0
Northcote|205 Clarke St|3|h|1512000.0|S|Jellis|27/05/2017|2097834.3411820545|3070.0|3.0|1.0|0.0|326.0|2254774.55299442|1905.0|Darebin|-37.77664|144.99902|Northern Metropolitan|11364.0
Toorak|11 Church St|3|t|2700000.0|VB|Kay|12/06/2016|3106820.760982071|3142.0|3.0|2.0|2.0|294.0|1734477.9377017354|2010.0|Stonnington|-37.8503|145.0292|Southern Metropolitan|7217.0
Templestowe Lower|42 Jacana Av|4|h|1611000.0|S|Barry|29/04/2017|1501683.2863240782|3107.0|||||2542958.931065329|||||Eastern Metropolitan|5420.0
Port Melbourne|213 Stokes St|3|h|1380000.0|S|Marshall|28/05/2016|3392670.656631621|3207.0|3.0|1.0|0.0|0.0|1311804.98260782|1890.0|Port Phillip|-37.8373|144.9397|Southern Metropolitan|8648.0
Mernda|20 Hillgrove Wy|3|h|440000.0|S|RW|24/06/2017|428978.2698893798|3754.0|||||-470826.0093060535|||||Northern Metropolitan|5812.0
Burwood|55 Parer St|4|t|900000.0|VB|Noel|22/05/2016|570261.9068195478|3125.0|4.0|3.0|2.0|381.0|1384685.1326294348|2013.0|Whitehorse|-37.8459|145.1041|Southern Metropolitan|5678.0
St Kilda|6/22 Charnwood Cr|2|u|610000.0|VB|Hodges|28/05/2016|140387.19859058096|3182.0|||||1255410.419953468|||||Southern Metropolitan|13240.0
Malvern East|55 Emo Rd|3|h|2210000.0|SP|Ray|8/10/2016|3334843.5244743414|3145.0|3.0|1.0|2.0|789.0|2139049.846762746||Stonnington|-37.8747|145.05200000000005|Southern Metropolitan|8801.0
Black Rock|1/565 Balcombe Rd|2|u|767000.0|SP|Chisholm|3/06/2017|160441.28464444514|3193.0|2.0|1.0|2.0|206.0|351859.16443915037|1970.0|Bayside|-37.97614|145.02014|Southern Metropolitan|2866.0
Wantirna|9 Eton Sq|4|h|850000.0|VB|Purplebricks|29/07/2017|230797.68203611442|3152.0|4.0|1.0|1.0||1142096.5373638682||Brimbank|-37.75312|144.80748|Eastern Metropolitan|5424.0
Sandringham|131 Bay Rd|4|t|2300000.0|S|Hodges|3/06/2017|1824165.7679082125|3191.0|4.0|2.0|2.0|604.0|2864481.4662862765|1940.0|Bayside|-37.95326|145.01779|Southern Metropolitan|4497.0
Pascoe Vale|44 Arndt Rd|3|h|955000.0|S|Raine|24/06/2017|940108.6140868764|3044.0|3.0|1.0|4.0|645.0|708778.7320634994||Moreland|-37.72029000000001|144.92896000000005|Northern Metropolitan|7485.0
Maidstone|43 Omar St|3|h|915000.0|S|hockingstuart|17/09/2016|1546572.294226649|3012.0|3.0|1.0|3.0|667.0|368683.66679710476||Maribyrnong|-37.7784|144.8708|Western Metropolitan|3873.0
Pascoe Vale|34 Essex St|3|h|775000.0|S|Brad|10/09/2016|65361.97830379079|3044.0|3.0|1.0|1.0|406.0|321052.6287835348|1960.0|Moreland|-37.7269|144.9447|Northern Metropolitan|7485.0
Moonee Ponds|184 Maribyrnong Rd|3|h|1375000.0|S|Brad|24/06/2017|3005307.9801327237|3039.0|3.0|1.0|1.0|449.0|985489.161281052||Moonee Valley|-37.77106|144.91162|Western Metropolitan|6232.0
Doncaster|4 Colston Cl|4|h|1250000.0|PI|Barry|10/12/2016|225035.78638283946|3108.0|4.0|2.0|2.0|780.0|2112547.8800482675||Manningham|-37.7955|145.139|Eastern Metropolitan|9028.0
St Kilda|13/62 Wellington St|1|u|461000.0|SP|McGrath|27/11/2016|194245.2674600621|3182.0|1.0|1.0|1.0|0.0|-109024.09185211908||Port Phillip|-37.8571|144.987|Southern Metropolitan|13240.0
Airport West|28 Creswell Av|3|u|905000.0|S|Barry|3/06/2017|394102.917306114|3042.0|||||914888.8192001468|||||Western Metropolitan|3464.0
Balwyn|3/4 Pretoria St|3|u|1280000.0|S|Noel|12/11/2016|1449036.5942255897|3103.0|||||1058156.2020444914|||||Southern Metropolitan|5682.0
Brighton East|12 Agnew St|3|h|2291000.0|S|Marshall|20/05/2017|1501792.9591769362|3187.0|3.0|2.0|2.0|530.0|2471700.2998637063|1886.0|Bayside|-37.9119|145.011|Southern Metropolitan|6938.0
Craigieburn|5 Healey St|3|h|499000.0|S|@Realty|27/05/2017|-686213.8210762844|3064.0|3.0|2.0|0.0|598.0|936738.7286286157|1990.0|Hume|-37.5993|144.93867|Northern Metropolitan|15510.0
Brunswick East|21 Roberts St|3|t|899000.0|SP|Jellis|7/05/2016|1215991.1227898072|3057.0|3.0|2.0|1.0|116.0|1093597.2890131576|2007.0|Moreland|-37.7667|144.9821|Northern Metropolitan|5533.0
Melbourne|308/16 Liverpool St|1|u|432000.0|S|LITTLE|13/08/2016|-769134.6885295983|3000.0|1.0|1.0|1.0|0.0|-116532.13789118976|2005.0|Melbourne|-37.8111|144.9715|Northern Metropolitan|17496.0
Chelsea Heights|17 Amaroo Dr|4|h|732000.0|S|Buxton|24/06/2017|3756270.665342557|3196.0|4.0|2.0|2.0|536.0|1028589.205211485|1985.0|Kingston|-38.03526|145.13286000000005|South-Eastern Metropolitan|2076.0
Brighton|66 Champion St|4|h|3900000.0|S|Nick|22/05/2016|5282376.449912588|3186.0|4.0|2.0|2.0|842.0|3695417.11616256|1990.0|Bayside|-37.9227|145.0043|Southern Metropolitan|10579.0
Essendon|44 Salmon Av|3|h|1926000.0|S|Nelson|20/05/2017|1811526.5749896052|3040.0|||||2491013.3197049117|||||Western Metropolitan|9264.0
Kew|11/912 Glenferrie Rd|2|u|650000.0|VB|Fletchers|6/08/2016|1184586.257007646|3101.0|2.0|1.0|1.0|0.0|-4025.0299065752192||Boroondara|-37.8083|145.0382|Southern Metropolitan|10331.0
Airport West|145a Victory Rd|2|u|440000.0|S|Barry|13/08/2016|802474.1558517895|3042.0|2.0|1.0|1.0|192.0|735236.4783996192||Moonee Valley|-37.7177|144.8787|Western Metropolitan|3464.0
Alphington|44 Naroon Rd|3|h|1540000.0|S|Nelson|16/04/2016|1710647.6800768946|3078.0|3.0|1.0|2.0|592.0|2512025.97236955||Darebin|-37.7755|145.0288|Northern Metropolitan|2211.0
Brunswick|73 Davies St|2|h|1056000.0|S|Nelson|10/09/2016|257264.72014139965|3056.0|2.0|1.0|1.0|315.0|604808.4492428213|1910.0|Moreland|-37.757|144.9697|Northern Metropolitan|11918.0
Hawthorn East|6/787 Burwood Rd|2|u|532000.0|S|Marshall|29/04/2017|24328.422264667865|3123.0|2.0|1.0|1.0|0.0|490294.5447369953||Boroondara|-37.8244|145.0517|Southern Metropolitan|6482.0
Templestowe Lower|4 Finn Ct|3|h|1051000.0|S|Jellis|10/12/2016|475831.3834416754|3107.0|3.0|2.0|1.0|962.0|1468679.6992599643|1970.0|Manningham|-37.7644|145.112|Eastern Metropolitan|5420.0
Yarraville|27 Regent St|3|h|1414000.0|S|Jas|7/11/2016|822595.4504725841|3013.0|3.0|2.0|2.0|230.0|1183883.4004906495|1900.0|Maribyrnong|-37.8124|144.8875|Western Metropolitan|6543.0
Bentleigh|174 Jasper Rd|3|t|900000.0|PI|hockingstuart|4/06/2016|892441.2271717505|3204.0|3.0|2.0|1.0|418.0|1062062.7235291677|1925.0|Glen Eira|-37.9172|145.0421|Southern Metropolitan|6795.0
Gowanbrae|82 Gowanbrae Dr|4|h|945000.0|S|Nelson|17/06/2017|1397581.0122223985|3043.0|4.0|2.0|4.0|474.0|1088141.9869630032|2000.0|Moreland|-37.70626|144.89551|Western Metropolitan|1071.0
Thornbury|5/66 Collins St|2|t|630000.0|PI|Ray|4/03/2017|-100189.86911761342|3071.0|||||637111.4977463061|||||Northern Metropolitan|8870.0
Port Melbourne|40 Nelson St|3|h|1150000.0|S|Marshall|3/12/2016|76832.0095103127|3207.0|3.0|2.0|1.0|0.0|397855.427416842|1990.0|Port Phillip|-37.8359|144.9342|Southern Metropolitan|8648.0
Toorak|11/41 Tintern Av|2|u|775000.0|S|hockingstuart|10/09/2016|-889858.4610031217|3142.0|||||1413545.2032395918|||||Southern Metropolitan|7217.0
Maribyrnong|21 Mitchell St|3|h|820000.0|VB|Biggin|30/07/2016|2432429.082307041|3032.0|3.0|1.0|4.0|578.0|1039369.637647716|2006.0|Maribyrnong|-37.7837|144.8887|Western Metropolitan|4918.0
Kealba|15 Bletchley Pl|4|h|590000.0|SP|Nelson|22/07/2017|386691.3772369404|3021.0|4.0|1.0|2.0|1960.0|-213237.793867574|158.0|Moreland|-37.70542|144.95127|Western Metropolitan|1202.0
Elwood|12/37 Tennyson St|2|u|520000.0|S|Biggin|12/08/2017|684868.1974316153|3184.0|2.0|1.0|1.0|1474.0|911209.3709062276||Maroondah|-37.79079|145.26924|Southern Metropolitan|8989.0
Bentleigh East|2/10 Thana St|3|t|955000.0|S|hockingstuart|27/05/2017|1227710.9690269788|3165.0|3.0|2.0|2.0|225.0|1321116.322243976||Glen Eira|-37.91425|145.08376|Southern Metropolitan|10969.0
Brunswick|9/33 Staley St|2|u|445000.0|S|Walshe|7/05/2016|-180469.30126085386|3056.0|2.0|1.0|1.0|0.0|74028.55627945281|1975.0|Moreland|-37.7643|144.9638|Northern Metropolitan|11918.0
Ormond|2 Stewart St|3|h|940000.0|PI|Buxton|16/07/2016|-81881.09846478481|3204.0|3.0|1.0|1.0|397.0|1048253.1623314172|1940.0|Glen Eira|-37.9064|145.0291|Southern Metropolitan|3578.0
Essendon|3/12 Morton St|2|h|711000.0|S|Nelson|8/10/2016|-138832.5566447149|3040.0|||||323151.06181286264|||||Western Metropolitan|9264.0
Avondale Heights|16 Cortina Pl|4|h|1300000.0|SP|Nelson|20/05/2017|788951.7626318126|3034.0|4.0|3.0|2.0|656.0|1220356.3191441966|1990.0|Moonee Valley|-37.7522|144.8659|Western Metropolitan|4502.0
Hallam|87 Frawley Rd|3|h|1300000.0|SP|Eview|8/07/2017|2642686.2734676925|3803.0|3.0|2.0|2.0|0.0|1867471.3774001347||Maribyrnong|-37.80196|144.90783000000005|South-Eastern Metropolitan|3728.0
Brunswick|133 Weston St|3|h|1410000.0|S|Raine|18/03/2017|1566309.7310585082|3056.0|3.0|1.0|1.0||1566868.6753299981|||-37.7756|144.9697|Northern Metropolitan|11918.0
Greenvale|29 Piccadilly Ct|4|h|810000.0|SP|Jason|24/06/2017|2763459.7355635143|3059.0|4.0|2.0|3.0|990.0|386104.45135530544||Hume|-37.6579|144.90523000000005|Northern Metropolitan|4864.0
Keilor East|8 Alwyn Ct|3|h|715000.0|SP|Moonee|30/07/2016|987893.6139158828|3033.0|3.0|2.0|4.0|598.0|798466.7466310161|1970.0|Moonee Valley|-37.7487|144.8526|Western Metropolitan|5629.0
Preston|12 Youngman St|2|h|780000.0|PI|Love|8/10/2016|1356732.8370045517|3072.0|2.0|1.0|3.0|475.0|-185183.16002663434||Darebin|-37.7351|145.0066|Northern Metropolitan|14577.0
Ormond|688 North Rd|4|h|1486000.0|S|Buxton|13/05/2017|1030408.4275018588|3204.0|4.0|2.0|1.0|618.0|1416736.6209667546||Glen Eira|-37.9051|145.0473|Southern Metropolitan|3578.0
Doncaster|12 Norfolk Cct|4|h|1520000.0|S|Barry|26/07/2016|1848851.8582057531|3108.0|4.0|3.0|2.0|657.0|1486593.9637676962|2010.0|Manningham|-37.7954|145.1379|Eastern Metropolitan|9028.0
South Melbourne|33 Mountain St|2|h|1150000.0|S|Greg|7/05/2016|3011553.3676916496|3205.0|2.0|1.0|0.0|113.0|823606.7734806045||Port Phillip|-37.8373|144.9493|Southern Metropolitan|5943.0
Bentleigh|11 Somers St|4|h|1450000.0|S|hockingstuart|12/11/2016|1970812.5587900446|3204.0|4.0|1.0|1.0|567.0|708167.9750232613||Glen Eira|-37.9149|145.0252|Southern Metropolitan|6795.0
Oak Park|40 Winifred St|4|h|865000.0|S|Brad|3/12/2016|1716215.7133746566|3046.0|4.0|1.0|2.0|696.0|1295700.1464568663|1955.0|Moreland|-37.7209|144.9158|Northern Metropolitan|2651.0
Kingsville|4 Kingsville St|2|h|816000.0|S|Village|7/05/2016|3238030.63617842|3012.0|||||824230.8736366596|||||Western Metropolitan|1808.0
Williamstown|102 John St|2|h|1000000.0|S|Jas|15/10/2016|1350164.3415145432|3016.0|2.0|1.0|0.0|240.0|1399023.571592895||Hobsons Bay|-37.8544|144.8922|Western Metropolitan|6380.0
Kew|53 Mary St|3|h|1410000.0|S|Nelson|26/07/2016|1124373.7483375142|3101.0|3.0|2.0|1.0|442.0|1446266.3571991597||Boroondara|-37.8046|145.0382|Southern Metropolitan|10331.0
Elwood|5/9 Dickens St|2|u|600000.0|S|hockingstuart|24/09/2016|313081.77420999977|3184.0|2.0|1.0|1.0|0.0|1003247.9979668465|1960.0|Port Phillip|-37.8715|144.9873|Southern Metropolitan|8989.0
Bentleigh East|9b Latham St|4|t|1260000.0|PI|hockingstuart|22/08/2016|1835035.5827557226|3165.0|||||925719.0787637377|||||Southern Metropolitan|10969.0
Richmond|16/2 New St|2|u|785000.0|SP|Biggin|7/11/2016|1582564.168184573|3121.0|||||811750.7554297518|||||Northern Metropolitan|14949.0
Reservoir|49 Yarra Av|3|h|810000.0|PI|hockingstuart|19/11/2016|1071257.3744636416|3073.0|||||1546129.131107903|||||Northern Metropolitan|21650.0
Prahran|5/26 Clifton St|2|u|590000.0|PI|Purplebricks|10/12/2016|1939393.018659479|3181.0|2.0|1.0|1.0|356.0|855082.3010971043|2005.0|Stonnington|-37.8509|144.9954|Southern Metropolitan|7717.0
Altona North|11a Edward Av|3|t|713500.0|S|Greg|10/09/2016|13107.363690689555|3025.0|||||807383.6423586042|||||Western Metropolitan|5132.0
Pascoe Vale|199 Cumberland Rd|3|h|900000.0|SP|Nelson|14/05/2016|1377688.4132223115|3044.0|3.0|2.0|2.0|608.0|920360.5119445028|1940.0|Moreland|-37.7182|144.9405|Northern Metropolitan|7485.0
Brunswick|25 Gray St|4|h|1755000.0|S|Jellis|28/08/2016|5750716.73660818|3056.0|4.0|2.0|1.0|354.0|1939117.1682584768|1910.0|Moreland|-37.7745|144.9523|Northern Metropolitan|11918.0
Ascot Vale|6 Munro St|3|h|1435000.0|S|Nelson|8/04/2017|-385796.61940532643|3032.0|3.0|1.0|1.0|450.0|714109.3363375837|1920.0|Moonee Valley|-37.7756|144.9148|Western Metropolitan|6567.0
Richmond|1/1 Ellis St|2|u|600000.0|S|Biggin|11/02/2017|-1683971.004311767|3121.0|||||1492926.1258330361|||||Northern Metropolitan|14949.0
Ascot Vale|10 Fenton St|2|h|1053000.0|S|Nelson|6/08/2016|2148213.1890253527|3032.0|2.0|1.0|1.0|269.0|1145440.1405159072|1900.0|Moonee Valley|-37.7748|144.929|Western Metropolitan|6567.0
Oakleigh|94 Burlington St|3|h|880000.0|PI|Barry|7/11/2016|1645583.7225041213|3166.0|3.0|1.0|1.0|670.0|1048605.86468479|1925.0|Monash|-37.9033|145.1006|Southern Metropolitan|3224.0
Pascoe Vale|3/60 Austin Cr|2|u|495000.0|SP|Brad|10/12/2016|-502931.2406617169|3044.0|||||-136164.12839960566|||||Northern Metropolitan|7485.0
